Taxa,Realm,Biome,N,N Traded,N Pet-Traded (%),N Product-Traded (%)
Reptile,Nearctic,Deserts & Xeric Shrublands,370,51,38 (10.27),7 (1.89)
Reptile,Nearctic,Flooded Grasslands & Savannas,45,8,5 (11.11),2 (4.44)
Reptile,Nearctic,Mangroves,52,6,5 (9.62),1 (1.92)
Reptile,Nearctic,"Mediterranean Forests, Woodlands & Scrub",81,17,14 (17.28),3 (3.70)
Reptile,Nearctic,Temperate Broadleaf & Mixed Forests,126,23,19 (15.08),3 (2.38)
Reptile,Nearctic,Temperate Conifer Forests,192,35,29 (15.10),6 (3.12)
Reptile,Nearctic,"Temperate Grasslands, Savannas & Shrublands",150,25,23 (15.33),3 (2.00)
Reptile,Nearctic,Tropical & Subtropical Coniferous Forests,365,41,31 (8.49),6 (1.64)
Reptile,Nearctic,Tropical & Subtropical Dry Broadleaf Forests,355,49,35 (9.86),10 (2.82)
Reptile,Nearctic,"Tropical & Subtropical Grasslands, Savannas & Shrublands",86,9,8 (9.30),1 (1.16)
Reptile,Nearctic,Tropical & Subtropical Moist Broadleaf Forests,200,26,18 (9.00),4 (2.00)
Reptile,Nearctic,Tundra,1,0,0 (0.00),0 (0.00)
Reptile,Neotropical,Deserts & Xeric Shrublands,498,40,17 (3.41),11 (2.21)
Reptile,Neotropical,Flooded Grasslands & Savannas,285,21,8 (2.81),4 (1.40)
Reptile,Neotropical,Mangroves,402,25,13 (3.23),11 (2.74)
Reptile,Neotropical,"Mediterranean Forests, Woodlands & Scrub",54,5,5 (9.26),1 (1.85)
Reptile,Neotropical,Montane Grasslands & Shrublands,625,49,19 (3.04),11 (1.76)
Reptile,Neotropical,Temperate Broadleaf & Mixed Forests,85,3,3 (3.53),1 (1.18)
Reptile,Neotropical,"Temperate Grasslands, Savannas & Shrublands",260,12,5 (1.92),2 (0.77)
Reptile,Neotropical,Tropical & Subtropical Dry Broadleaf Forests,689,49,20 (2.90),17 (2.47)
Reptile,Neotropical,"Tropical & Subtropical Grasslands, Savannas & Shrublands",762,43,15 (1.97),12 (1.57)
Reptile,Neotropical,Tropical & Subtropical Moist Broadleaf Forests,1357,75,28 (2.06),21 (1.55)
Reptile,Oceanina,Mangroves,56,15,14 (25.00),8 (14.29)
Reptile,Oceanina,Montane Grasslands & Shrublands,61,15,13 (21.31),9 (14.75)
Reptile,Oceanina,Tropical & Subtropical Dry Broadleaf Forests,71,10,7 (9.86),2 (2.82)
Reptile,Oceanina,"Tropical & Subtropical Grasslands, Savannas & Shrublands",83,29,26 (31.33),11 (13.25)
Reptile,Oceanina,Tropical & Subtropical Moist Broadleaf Forests,352,61,51 (14.49),23 (6.53)
Reptile,Oriental,Deserts & Xeric Shrublands,246,34,18 (7.32),18 (7.32)
Reptile,Oriental,Mangroves,265,60,39 (14.72),32 (12.08)
Reptile,Oriental,Montane Grasslands & Shrublands,88,18,12 (13.64),11 (12.50)
Reptile,Oriental,Temperate Broadleaf & Mixed Forests,189,33,19 (10.05),21 (11.11)
Reptile,Oriental,Temperate Conifer Forests,170,38,22 (12.94),24 (14.12)
Reptile,Oriental,Tropical & Subtropical Coniferous Forests,246,46,30 (12.20),25 (10.16)
Reptile,Oriental,Tropical & Subtropical Dry Broadleaf Forests,670,88,52 (7.76),46 (6.87)
Reptile,Oriental,"Tropical & Subtropical Grasslands, Savannas & Shrublands",97,21,10 (10.31),14 (14.43)
Reptile,Oriental,Tropical & Subtropical Moist Broadleaf Forests,1525,180,121 (7.93),68 (4.46)
Reptile,Palearctic,Boreal Forests/Taiga,25,7,3 (12.00),4 (16.00)
Reptile,Palearctic,Deserts & Xeric Shrublands,208,41,30 (14.42),14 (6.73)
Reptile,Palearctic,Flooded Grasslands & Savannas,18,3,0 (0.00),3 (16.67)
Reptile,Palearctic,"Mediterranean Forests, Woodlands & Scrub",132,33,27 (20.45),10 (7.58)
Reptile,Palearctic,Montane Grasslands & Shrublands,188,35,21 (11.17),14 (7.45)
Reptile,Palearctic,Temperate Broadleaf & Mixed Forests,323,82,60 (18.58),30 (9.29)
Reptile,Palearctic,Temperate Conifer Forests,172,45,32 (18.60),15 (8.72)
Reptile,Palearctic,"Temperate Grasslands, Savannas & Shrublands",189,45,32 (16.93),14 (7.41)
Reptile,Palearctic,Tundra,14,3,0 (0.00),3 (21.43)
Reptile,Panamanian,Deserts & Xeric Shrublands,144,33,22 (15.28),13 (9.03)
Reptile,Panamanian,Mangroves,159,32,22 (13.84),12 (7.55)
Reptile,Panamanian,Montane Grasslands & Shrublands,93,13,7 (7.53),4 (4.30)
Reptile,Panamanian,Tropical & Subtropical Coniferous Forests,492,75,47 (9.55),23 (4.67)
Reptile,Panamanian,Tropical & Subtropical Dry Broadleaf Forests,673,79,45 (6.69),23 (3.42)
Reptile,Panamanian,Tropical & Subtropical Moist Broadleaf Forests,776,80,50 (6.44),24 (3.09)
Reptile,Saharo-Arabian,Deserts & Xeric Shrublands,492,104,77 (15.65),36 (7.32)
Reptile,Saharo-Arabian,Flooded Grasslands & Savannas,146,47,34 (23.29),13 (8.90)
Reptile,Saharo-Arabian,"Mediterranean Forests, Woodlands & Scrub",207,47,34 (16.43),13 (6.28)
Reptile,Saharo-Arabian,Montane Grasslands & Shrublands,239,47,27 (11.30),13 (5.44)
Reptile,Saharo-Arabian,Temperate Broadleaf & Mixed Forests,156,37,29 (18.59),7 (4.49)
Reptile,Saharo-Arabian,Temperate Conifer Forests,132,32,20 (15.15),9 (6.82)
Reptile,Saharo-Arabian,"Temperate Grasslands, Savannas & Shrublands",145,32,28 (19.31),9 (6.21)
Reptile,Saharo-Arabian,Tropical & Subtropical Coniferous Forests,41,6,3 (7.32),3 (7.32)
Reptile,Sino-Japanese,Deserts & Xeric Shrublands,12,5,4 (33.33),4 (33.33)
Reptile,Sino-Japanese,Flooded Grasslands & Savannas,18,8,3 (16.67),7 (38.89)
Reptile,Sino-Japanese,Montane Grasslands & Shrublands,203,44,26 (12.81),23 (11.33)
Reptile,Sino-Japanese,Temperate Broadleaf & Mixed Forests,251,54,33 (13.15),30 (11.95)
Reptile,Sino-Japanese,Temperate Conifer Forests,226,48,29 (12.83),27 (11.95)
Reptile,Sino-Japanese,Tropical & Subtropical Coniferous Forests,67,18,8 (11.94),12 (17.91)
Reptile,Sino-Japanese,"Tropical & Subtropical Grasslands, Savannas & Shrublands",121,21,11 (9.09),13 (10.74)
Reptile,Sino-Japanese,Tropical & Subtropical Moist Broadleaf Forests,301,64,40 (13.29),33 (10.96)
