Taxa,Realm,Biome,N,N Traded,N Pet-Traded (%),N Product-Traded (%)
Amphibian,Palearctic,Deserts & Xeric Shrublands,27,15,8 (29.63),8 (29.63)
Amphibian,Palearctic,Flooded Grasslands & Savannas,11,7,1 (9.09),7 (63.64)
Amphibian,Palearctic,"Mediterranean Forests, Woodlands & Scrub",81,37,18 (22.22),24 (29.63)
Amphibian,Palearctic,Montane Grasslands & Shrublands,27,12,2 (7.41),12 (44.44)
Amphibian,Palearctic,Temperate Broadleaf & Mixed Forests,107,50,26 (24.30),32 (29.91)
Amphibian,Palearctic,Temperate Conifer Forests,53,32,19 (35.85),20 (37.74)
Amphibian,Palearctic,"Temperate Grasslands, Savannas & Shrublands",37,25,15 (40.54),13 (35.14)
Amphibian,Palearctic,Tundra,12,9,4 (33.33),7 (58.33)
Amphibian,Panamanian,Deserts & Xeric Shrublands,63,7,6 (9.52),3 (4.76)
Amphibian,Panamanian,Mangroves,50,7,5 (10.00),4 (8.00)
Amphibian,Panamanian,Montane Grasslands & Shrublands,70,9,7 (10.00),2 (2.86)
Amphibian,Panamanian,Tropical & Subtropical Coniferous Forests,269,16,12 (4.46),7 (2.60)
Amphibian,Panamanian,Tropical & Subtropical Dry Broadleaf Forests,331,24,18 (5.44),6 (1.81)
Amphibian,Panamanian,Tropical & Subtropical Moist Broadleaf Forests,674,55,46 (6.82),14 (2.08)
Amphibian,Saharo-Arabian,Deserts & Xeric Shrublands,43,11,6 (13.95),7 (16.28)
Amphibian,Saharo-Arabian,Flooded Grasslands & Savannas,14,3,1 (7.14),2 (14.29)
Amphibian,Saharo-Arabian,"Mediterranean Forests, Woodlands & Scrub",21,6,5 (23.81),3 (14.29)
Amphibian,Saharo-Arabian,Montane Grasslands & Shrublands,29,6,3 (10.34),6 (20.69)
Amphibian,Saharo-Arabian,Temperate Broadleaf & Mixed Forests,12,4,3 (25.00),1 (8.33)
Amphibian,Saharo-Arabian,Temperate Conifer Forests,15,3,2 (13.33),3 (20.00)
Amphibian,Saharo-Arabian,"Temperate Grasslands, Savannas & Shrublands",8,1,0 (0.00),1 (12.50)
Amphibian,Saharo-Arabian,Tropical & Subtropical Coniferous Forests,7,2,1 (14.29),2 (28.57)
Amphibian,Sino-Japanese,Flooded Grasslands & Savannas,9,6,0 (0.00),6 (66.67)
Amphibian,Sino-Japanese,Montane Grasslands & Shrublands,83,19,3 (3.61),19 (22.89)
Amphibian,Sino-Japanese,Temperate Broadleaf & Mixed Forests,208,56,25 (12.02),41 (19.71)
Amphibian,Sino-Japanese,Temperate Conifer Forests,155,29,6 (3.87),27 (17.42)
Amphibian,Sino-Japanese,Tropical & Subtropical Coniferous Forests,17,4,2 (11.76),4 (23.53)
Amphibian,Sino-Japanese,"Tropical & Subtropical Grasslands, Savannas & Shrublands",38,9,5 (13.16),7 (18.42)
Amphibian,Sino-Japanese,Tropical & Subtropical Moist Broadleaf Forests,208,50,22 (10.58),38 (18.27)
Bird,Afrotropical,Deserts & Xeric Shrublands,1101,600,528 (47.96),344 (31.24)
Bird,Afrotropical,Flooded Grasslands & Savannas,972,543,508 (52.26),272 (27.98)
Bird,Afrotropical,Mangroves,563,327,308 (54.71),158 (28.06)
Bird,Afrotropical,"Mediterranean Forests, Woodlands & Scrub",380,227,204 (53.68),146 (38.42)
